order_number,order_date,total_amount,vendor,destination_dc_code
PO-2023-000892,2023-07-05,588899.23,Supermicro,DC-US001
PO-2023-000893,2023-06-01,1025199.9,Super Micro Computer,DC-US003
PO-2023-000894,2023-03-20,187693.64,Lenovo,DC-AU004
PO-2023-000895,2023-03-23,369925.16,Super Micro Computer,DC-US008
PO-2023-000896,2023-10-22,338962.57,Super Micro Computer,DC-US001
PO-2023-000897,2023-11-14,57585.67,Arista Networks,DC-FR001
PO-2023-000898,2023-08-24,45648.49,Super Micro Computer,DC-US006
PO-2023-000899,2023-11-24,1463401.59,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000900,2023-04-21,424809.14,Cisco Systems,DC-IE001
PO-2023-000901,2023-02-14,62180.43,Dell Technologies,DC-BR003
PO-2023-000902,2023-11-03,21088.06,Dell Technologies,DC-US014
PO-2023-000903,2023-10-22,53587.26,Schneider APC,DC-UK002
PO-2023-000904,2023-09-04,34290.77,HPE (Hewlett Packard Enterprise),DC-IN001
PO-2023-000905,2023-12-27,114082.05,Super Micro Computer,DC-BR001
PO-2023-000906,2023-03-02,295682.03,Dell Technologies,DC-DE003
PO-2023-000907,2023-09-24,153683.23,Cisco Systems,DC-US001
PO-2023-000908,2023-10-14,35059.41,Cisco Systems,DC-US003
PO-2023-000909,2023-12-04,318899.32,Schneider APC,DC-BR001
PO-2023-000910,2023-05-12,73007.59,Super Micro Computer,DC-NL001
PO-2023-000911,2023-09-04,350232.52,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000912,2023-08-20,416635.92,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-000913,2023-02-14,86898.07,IBM,DC-DE001
PO-2023-000914,2023-11-28,4006.07,Dell Technologies,DC-CA001
PO-2023-000915,2023-07-01,51299.41,Dell Technologies,DC-BR002
PO-2023-000916,2023-08-01,195096.22,Dell Technologies,DC-US012
PO-2023-000917,2023-10-28,149928.42,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-000918,2023-10-01,526166.67,Cisco Systems,DC-US002
PO-2023-000919,2023-03-03,750688.15,Cisco Systems,DC-US001
PO-2023-000920,2023-03-24,8898.45,Cisco Systems,DC-NL001
PO-2023-000921,2023-06-07,144240.63,Cisco Systems,DC-CA001
PO-2023-000922,2023-11-23,4602.37,Dell Technologies,DC-UK002
PO-2023-000923,2023-05-25,726.14,Dell Technologies,DC-IN003
PO-2023-000924,2023-10-02,234475.75,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000925,2023-02-10,78159.99,Cisco Systems,DC-SG001
PO-2023-000926,2023-09-20,118350.9,Cisco Systems,DC-US006
PO-2023-000927,2023-09-13,4895.8,Lenovo,DC-NL001
PO-2023-000928,2023-07-01,242030.54,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000929,2023-09-11,326947.12,Cisco Systems,DC-US014
PO-2023-000930,2023-10-23,75435.07,HPE (Hewlett Packard Enterprise),DC-AU001
PO-2023-000931,2023-10-21,396054.28,Cisco Systems,DC-UK001
PO-2023-000932,2023-04-03,307626.01,Cisco Systems,DC-BR001
PO-2023-000933,2023-08-25,627339.83,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000934,2023-09-26,215708.72,Cisco Systems,DC-US008
PO-2023-000935,2023-10-22,111273.91,Dell Technologies,DC-UK001
PO-2023-000936,2023-09-20,320549.44,Cisco Systems,DC-BR004
PO-2023-000937,2023-12-13,1970033.09,Cisco Systems,DC-US017
PO-2023-000938,2023-06-26,1695.66,HPE (Hewlett Packard Enterprise),DC-US009
PO-2023-000939,2023-11-07,94305.68,Schneider Electric,DC-US001
PO-2023-000940,2023-11-24,197080.61,Lenovo,DC-JP001
PO-2023-000941,2023-08-11,152469.46,Dell Technologies,DC-FR001
PO-2023-000942,2023-10-03,562419.34,HPE (Hewlett Packard Enterprise),DC-FR001
PO-2023-000943,2023-02-12,1163.09,NetApp,DC-US003
PO-2023-000944,2023-12-22,200678.48,HPE (Hewlett Packard Enterprise),DC-US010
PO-2023-000945,2023-06-28,71414.38,NetApp,DC-JP001
PO-2023-000946,2023-01-06,185734.72,Dell Technologies,DC-IE005
PO-2023-000947,2023-01-09,38120.88,NetApp,DC-IN003
PO-2023-000948,2023-11-25,77566.77,Schneider APC,DC-US002
PO-2023-000949,2023-10-03,202097.25,Lenovo,DC-DE001
PO-2023-000950,2023-03-14,310695.38,Cisco Systems,DC-US003
PO-2023-000951,2023-04-20,6498.31,Dell Technologies,DC-DE001
PO-2023-000952,2023-02-06,724382.47,Cisco Systems,DC-NL004
PO-2023-000953,2023-12-15,372106.3,Cisco Systems,DC-US003
PO-2023-000954,2023-02-07,115152.71,HP Enterprise,DC-NL001
PO-2023-000955,2023-07-25,6750.75,Super Micro Computer,DC-NL001
PO-2023-000956,2023-12-27,109063.78,Super Micro Computer,DC-UK001
PO-2023-000957,2023-09-14,32235.83,Dell Technologies,DC-US002
PO-2023-000958,2023-11-06,29714.71,Supermicro,DC-US016
PO-2023-000959,2023-08-19,7780.43,NetApp,DC-DE002
PO-2023-000960,2023-10-17,49078.23,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000961,2023-10-25,235196.78,Dell Technologies,DC-NL001
PO-2023-000962,2023-04-01,245509.15,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-000963,2023-12-16,22798.5,Eaton Corporation,DC-UK001
PO-2023-000964,2023-10-25,84365.66,IBM,DC-CA001
PO-2023-000965,2023-08-27,98892.97,NetApp,DC-BR001
PO-2023-000966,2023-12-23,1170789.78,HPE (Hewlett Packard Enterprise),DC-NL003
PO-2023-000967,2023-11-17,1810.02,Schneider Electric,DC-BR004
PO-2023-000968,2023-10-09,97785.02,Arista Networks,DC-UK001
PO-2023-000969,2023-11-18,2144374.99,Cisco Systems,DC-IE001
PO-2023-000970,2023-10-18,230830.08,Dell Technologies,DC-IE001
PO-2023-000971,2023-12-06,225101.4,Cisco Systems,DC-CA001
PO-2023-000972,2023-11-07,217754.1,Super Micro Computer,DC-NL001
PO-2023-000973,2023-02-20,406361.0,Lenovo,DC-US002
PO-2023-000974,2023-09-28,2148692.09,Dell Technologies,DC-CA001
PO-2023-000975,2023-01-03,9584.43,Schneider Electric,DC-BR001
PO-2023-000976,2023-10-25,731164.29,Dell Technologies,DC-US001
PO-2023-000977,2023-07-16,464555.59,Super Micro Computer,DC-US001
PO-2023-000978,2023-10-10,477200.77,Dell Technologies,DC-IE002
PO-2023-000979,2023-11-23,10007.47,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-000980,2023-02-09,117401.74,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000981,2023-05-04,236087.48,Super Micro Computer,DC-NL001
PO-2023-000982,2023-12-06,385668.28,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-000983,2023-03-03,1301428.22,HPE (Hewlett Packard Enterprise),DC-US009
PO-2023-000984,2023-01-07,8921.32,Vertiv,DC-IE001
PO-2023-000985,2023-10-06,232364.87,Cisco Systems,DC-US003
PO-2023-000986,2023-11-11,158755.33,Dell Technologies,DC-DE003
PO-2023-000987,2023-01-14,12799.77,Super Micro Computer,DC-US001
PO-2023-000988,2023-10-07,1533727.97,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000989,2023-05-07,72901.23,Juniper Networks,DC-DE001
PO-2023-000990,2023-11-06,345245.91,Cisco Systems,DC-US002
PO-2023-000991,2023-09-02,15133.68,Dell Technologies,DC-JP001
PO-2023-000992,2023-10-19,1569997.74,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000993,2023-10-07,1459495.63,Cisco Systems,DC-JP001
PO-2023-000994,2023-03-22,279379.92,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000995,2023-11-07,106681.35,Lenovo,DC-JP001
PO-2023-000996,2023-01-04,364658.2,Dell Technologies,DC-SG001
PO-2023-000997,2023-11-20,727882.32,Cisco Systems,DC-IE001
PO-2023-000998,2023-12-02,188066.36,Cisco Systems,DC-US003
PO-2023-000999,2023-01-05,305992.09,Cisco Systems,DC-AU003
PO-2023-001000,2023-05-21,3361959.57,Dell Technologies,DC-DE001
PO-2023-001001,2023-11-14,122752.16,Dell Technologies,DC-US001
PO-2023-001002,2023-07-03,273894.71,Dell Technologies,DC-US001
PO-2023-001003,2023-07-02,5548.23,Cisco Systems,DC-FR001
PO-2023-001004,2023-10-19,442383.07,Cisco Systems,DC-NL001
PO-2023-001005,2023-11-12,44220.91,Arista Networks,DC-JP001
PO-2023-001006,2023-03-24,263139.09,HPE (Hewlett Packard Enterprise),DC-US007
PO-2023-001007,2023-03-06,620283.67,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-001008,2023-10-05,1462365.26,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-001009,2023-12-17,220182.21,HPE (Hewlett Packard Enterprise),DC-IE005
PO-2023-001010,2023-03-09,429159.97,Cisco Systems,DC-US002
PO-2023-001011,2023-12-23,1092973.95,Super Micro Computer,DC-BR003
PO-2023-001012,2023-01-13,308038.59,Super Micro Computer,DC-DE001
PO-2023-001013,2023-03-08,111032.77,HP Enterprise,DC-AU001
PO-2023-001014,2023-10-18,169136.58,Cisco Systems,DC-BR001
PO-2023-001015,2023-06-09,380936.1,HP Enterprise,DC-IE004
PO-2023-001016,2023-12-28,12317.55,IBM,DC-BR004
PO-2023-001017,2023-01-25,867579.81,Dell Technologies,DC-US002
PO-2023-001018,2023-09-25,14372.42,Schneider Electric,DC-CA001
PO-2023-001019,2023-12-06,2153453.57,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001020,2023-10-14,1364540.97,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-001021,2023-10-08,131050.5,Dell Technologies,DC-DE001
PO-2023-001022,2023-11-11,275390.03,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001023,2023-11-14,846944.82,Cisco Systems,DC-CA001
PO-2023-001024,2023-11-07,841669.38,Lenovo,DC-DE001
PO-2023-001025,2023-02-17,21928.18,Arista Networks,DC-BR003
PO-2023-001026,2023-10-11,103664.6,Dell Technologies,DC-NL001
PO-2023-001027,2023-07-19,47580.14,Super Micro Computer,DC-IE002
PO-2023-001028,2023-07-25,440486.24,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-001029,2023-11-22,695309.74,Cisco Systems,DC-US002
PO-2023-001030,2023-10-13,1441484.66,Cisco Systems,DC-US001
PO-2023-001031,2023-08-25,175729.51,Cisco Systems,DC-US002
PO-2023-001032,2023-08-02,104365.84,Super Micro Computer,DC-US003
PO-2023-001033,2023-12-11,295030.83,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001034,2023-11-11,1962626.6,Lenovo,DC-US008
PO-2023-001035,2023-03-04,405823.42,Dell Technologies,DC-US012
PO-2023-001036,2023-09-20,242383.08,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-001037,2023-07-27,5221.0,Lenovo,DC-JP001
PO-2023-001038,2023-06-08,208483.83,Dell Technologies,DC-DE002
PO-2023-001039,2023-06-14,164733.79,Cisco Systems,DC-IE001
PO-2023-001040,2023-11-13,465150.63,Lenovo,DC-AU002
PO-2023-001041,2023-10-27,948396.67,Dell Technologies,DC-UK001
PO-2023-001042,2023-12-27,829596.27,Dell Technologies,DC-US001
PO-2023-001043,2023-12-20,1073357.21,Cisco Systems,DC-DE001
PO-2023-001044,2023-11-27,422804.96,Lenovo,DC-SG001
PO-2023-001045,2023-10-06,48209.65,NetApp,DC-IE003
PO-2023-001046,2023-01-25,14364.09,NetApp,DC-CA001
PO-2023-001047,2023-04-03,15597.12,Super Micro Computer,DC-IN002
PO-2023-001048,2023-04-05,919494.54,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-001049,2023-01-20,11028.99,Dell Technologies,DC-NL004
PO-2023-003200,2023-08-03,101.96,Juniper Networks,DC-IE001
PO-2023-001051,2023-01-05,655300.17,Dell Technologies,DC-AU002
PO-2023-001052,2023-12-22,86791.94,Eaton Corporation,DC-AU001
PO-2023-001053,2023-05-10,271069.39,Dell Technologies,DC-BR002
PO-2023-001054,2023-11-09,73860.19,Vertiv,DC-US001
PO-2023-001055,2023-05-14,837601.46,Cisco Systems,DC-US001
PO-2023-001056,2023-07-23,263652.37,HPE (Hewlett Packard Enterprise),DC-BR002
PO-2023-001057,2023-12-25,2099878.82,HPE (Hewlett Packard Enterprise),DC-JP002
PO-2023-001058,2023-09-11,126743.67,HPE (Hewlett Packard Enterprise),DC-DE002
PO-2023-001059,2023-11-23,1368414.48,HP Enterprise,DC-NL001
PO-2023-001060,2023-03-08,185626.44,Cisco Systems,DC-BR001
PO-2023-001061,2023-02-03,559435.03,Cisco Systems,DC-UK001
PO-2023-001062,2023-12-13,8329.96,IBM,DC-NL001
PO-2023-001063,2023-11-19,2271811.52,Cisco Systems,DC-NL003
PO-2023-001064,2023-11-18,952324.55,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001065,2023-11-22,24645.65,Arista Networks,DC-US012
PO-2023-001066,2023-02-19,164252.73,Cisco Systems,DC-BR001
PO-2023-001067,2023-10-18,59250.01,Schneider Electric,DC-US007
PO-2023-001068,2023-11-22,1013695.4,Dell Technologies,DC-BR001
PO-2023-001069,2023-09-22,63485.08,Cisco Systems,DC-CA001
PO-2023-001070,2023-10-14,954278.98,Dell Technologies,DC-CA001
PO-2023-001071,2023-06-15,126481.05,HPE (Hewlett Packard Enterprise),DC-BR003
PO-2023-001072,2023-02-08,126638.51,Dell Technologies,DC-IN003
PO-2023-001073,2023-10-01,344639.62,Dell Technologies,DC-US001
PO-2023-001074,2023-04-06,166951.26,Dell Technologies,DC-BR001
PO-2023-001075,2023-07-03,73807.76,HPE (Hewlett Packard Enterprise),DC-US012
PO-2023-001076,2023-06-19,208204.86,Dell Technologies,DC-US001
PO-2023-001077,2023-12-20,4329.19,Pure Storage,DC-NL001
PO-2023-001078,2023-08-15,78819.94,NetApp,DC-IE001
PO-2023-001079,2023-09-22,2078257.91,Dell Technologies,DC-AU002
PO-2023-001080,2023-09-15,530786.19,HP Enterprise,DC-NL001
PO-2023-001081,2023-10-10,797930.86,Cisco Systems,DC-IE001
PO-2023-001082,2023-04-23,51865.96,Vertiv,DC-DE003
PO-2023-001083,2023-02-01,17712.3,Pure Storage,DC-US006
PO-2023-001084,2023-08-04,162286.97,Dell Technologies,DC-US006
PO-2023-001085,2023-11-27,276859.98,Dell Technologies,DC-BR004
PO-2023-001086,2023-12-16,81719.29,Dell Technologies,DC-US001
PO-2023-001087,2023-04-07,1467774.66,Cisco Systems,DC-US003
PO-2023-001088,2023-01-18,323734.65,Cisco Systems,DC-US001
PO-2023-001089,2023-07-27,8739.04,Vertiv,DC-IE001
PO-2023-001090,2023-06-21,236434.73,Dell Technologies,DC-US002
PO-2023-001091,2023-11-23,382360.77,Dell Technologies,DC-IE005
PO-2023-001092,2023-12-24,496179.28,Cisco Systems,DC-CA001
PO-2023-001093,2023-12-02,7592.68,NetApp,DC-IE001
PO-2023-001094,2023-04-28,339883.46,Lenovo,DC-US017
PO-2023-001095,2023-04-12,274763.59,HPE (Hewlett Packard Enterprise),DC-SG002
PO-2023-001096,2023-09-22,1147752.18,Lenovo,DC-JP001
PO-2023-001097,2023-06-09,253.89,IBM,DC-US001
PO-2023-001098,2023-05-01,55086.8,Lenovo,DC-NL001
PO-2023-001099,2023-09-26,44296.62,Vertiv,DC-DE001
PO-2023-001100,2023-10-03,43974.24,Cisco Systems,DC-US001
PO-2023-001101,2023-01-09,205911.55,Cisco Systems,DC-NL002
PO-2023-001102,2023-01-03,19941.06,HPE (Hewlett Packard Enterprise),DC-BR004
PO-2023-001446,2023-04-17,831335.82,Dell Technologies,DC-UK001
PO-2023-001104,2023-10-11,952288.65,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001105,2023-04-03,48759.62,Super Micro Computer,DC-UK001
PO-2023-001106,2023-11-09,503695.91,Dell Technologies,DC-UK001
PO-2023-001107,2023-07-25,29727.13,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001108,2023-01-10,16306.66,Dell Technologies,DC-NL001
PO-2023-000760,2023-03-04,104929.08,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001110,2023-11-26,421386.96,Dell Technologies,DC-US017
PO-2023-001111,2023-02-16,3148529.67,Dell Technologies,DC-DE002
PO-2023-001112,2023-11-24,872655.73,Lenovo,DC-AU003
PO-2023-001113,2023-06-03,187369.03,Cisco Systems,DC-US016
PO-2023-001114,2023-05-04,103556.26,Dell Technologies,DC-BR002
PO-2023-001115,2023-11-21,864287.89,Cisco Systems,DC-CA001
PO-2023-001116,2023-11-22,1818768.5,Cisco Systems,DC-US006
PO-2023-001117,2023-11-22,3673766.9,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-001118,2023-11-23,94811.73,Super Micro Computer,DC-UK002
PO-2023-001119,2023-10-13,273092.41,Dell Technologies,DC-NL001
PO-2023-001120,2023-03-17,46364.67,Dell Technologies,DC-CA001
PO-2023-001121,2023-03-04,601662.11,Dell Technologies,DC-US001
PO-2023-001122,2023-11-26,65759.15,Super Micro Computer,DC-SG003
PO-2023-001123,2023-01-08,4009531.8,Supermicro,DC-SG003
PO-2023-001124,2023-12-21,112172.99,Dell Technologies,DC-CA001
PO-2023-001125,2023-01-28,475620.39,Lenovo,DC-AU002
PO-2023-001126,2023-03-07,2630.74,Arista Networks,DC-NL001
PO-2023-001127,2023-12-14,66291.42,Arista Networks,DC-SG002
PO-2023-001128,2023-08-10,44129.42,Juniper Networks,DC-BR001
PO-2023-001129,2023-07-25,80557.57,Eaton Corporation,DC-SG001
PO-2023-001130,2023-03-15,396275.56,Lenovo,DC-US001
PO-2023-001131,2023-11-25,114795.49,Lenovo,DC-SG003
PO-2023-001132,2023-02-12,164729.53,Dell Technologies,DC-FR001
PO-2023-001133,2023-10-11,654607.79,Dell Technologies,DC-IE001
PO-2023-001134,2023-12-17,141203.83,Dell Technologies,DC-US002
PO-2023-001135,2023-11-05,154426.93,Super Micro Computer,DC-UK001
PO-2023-001136,2023-11-08,58269.41,HPE (Hewlett Packard Enterprise),DC-BR003
PO-2023-001137,2023-10-20,399201.57,HPE (Hewlett Packard Enterprise),DC-SG002
PO-2023-001138,2023-04-23,384269.96,Cisco Systems,DC-IN001
PO-2023-001139,2023-01-19,84682.86,IBM,DC-US002
PO-2023-001140,2023-04-13,61529.07,HPE (Hewlett Packard Enterprise),DC-IN001
PO-2023-001141,2023-11-21,109726.73,HP Enterprise,DC-IE002
PO-2023-001142,2023-12-03,175786.36,Dell Technologies,DC-NL001
PO-2023-001143,2023-12-12,448723.94,Super Micro Computer,DC-IE001
PO-2023-001144,2023-11-20,336286.06,Super Micro Computer,DC-US003
PO-2023-001145,2023-09-10,363481.48,Lenovo,DC-CA001
PO-2023-001146,2023-08-19,621.33,HPE (Hewlett Packard Enterprise),DC-AU003
PO-2023-001147,2023-03-13,49995.02,Schneider Electric,DC-US001
PO-2023-001148,2023-12-22,220128.79,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-001149,2023-07-03,492086.22,HPE (Hewlett Packard Enterprise),DC-US004
PO-2023-001150,2023-12-28,209965.78,Super Micro Computer,DC-IE006
PO-2023-001151,2023-11-24,1131605.96,Cisco Systems,DC-DE001
PO-2023-001152,2023-08-24,173825.44,Dell Technologies,DC-DE001
PO-2023-001153,2023-05-20,1197519.89,Dell Technologies,DC-JP001
PO-2023-001154,2023-09-24,20149.35,Eaton Corporation,DC-US002
PO-2023-001155,2023-10-21,455377.04,Dell Technologies,DC-US003
PO-2023-001156,2023-12-21,488201.09,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-001157,2023-11-15,335946.9,Lenovo,DC-IE001
PO-2023-001158,2023-10-04,41344.92,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001159,2023-02-24,1430835.08,Lenovo,DC-US011
PO-2023-001160,2023-01-03,695577.29,Cisco Systems,DC-BR001
PO-2023-001161,2023-12-24,489316.4,Dell Technologies,DC-CA001
PO-2023-001162,2023-12-16,162195.89,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-001163,2023-12-18,269689.48,Dell Technologies,DC-NL003
PO-2023-001164,2023-05-27,55884.29,IBM,DC-UK002
PO-2023-001165,2023-03-23,180174.0,Dell Technologies,DC-US014
PO-2023-001166,2023-08-25,313.05,Arista Networks,DC-UK001
PO-2023-001167,2023-07-05,121370.14,Dell Technologies,DC-IE001
PO-2023-001168,2023-05-18,18218.61,Vertiv,DC-US001
PO-2023-001169,2023-07-28,728793.97,Lenovo,DC-AU001
PO-2023-001170,2023-12-22,2183253.81,Cisco Systems,DC-BR001
PO-2023-001171,2023-12-11,244256.23,Super Micro Computer,DC-BR003
PO-2023-001172,2023-09-13,41545.91,Arista Networks,DC-AU004
PO-2023-001173,2023-07-03,41138.21,Cisco Systems,DC-JP001
PO-2023-001174,2023-10-13,56341.24,Arista Networks,DC-JP001
PO-2023-001175,2023-12-22,444148.17,Cisco Systems,DC-IE001
PO-2023-001176,2023-03-23,111101.98,Dell Technologies,DC-NL001
PO-2023-001177,2023-10-24,503721.09,Dell Technologies,DC-US001
PO-2023-001178,2023-04-21,456858.03,Lenovo,DC-DE003
PO-2023-001179,2023-04-14,195372.88,Cisco Systems,DC-US002
PO-2023-001180,2023-10-04,96673.09,Cisco Systems,DC-IE005
PO-2023-001181,2023-03-10,104341.04,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-001091,2023-09-12,697737.08,Dell Technologies,DC-BR002
PO-2023-001183,2023-10-24,117148.04,Lenovo,DC-US013
PO-2023-001184,2023-09-04,140804.65,Dell Technologies,DC-UK001
PO-2023-001185,2023-06-01,598223.56,Lenovo,DC-US009
PO-2023-001186,2023-09-24,75552.93,Super Micro Computer,DC-JP001
PO-2023-001187,2023-11-20,224084.09,Cisco Systems,DC-AU003
PO-2023-001188,2023-12-03,201507.94,Dell Technologies,DC-DE001
PO-2023-001189,2023-10-20,503317.72,Lenovo,DC-US010
PO-2023-001190,2023-06-20,159635.56,HP Enterprise,DC-US001
PO-2023-001191,2023-11-11,1211867.09,Dell Technologies,DC-IE001
PO-2023-001192,2023-04-03,2196.29,Arista Networks,DC-US004
PO-2023-001193,2023-10-15,87236.6,Schneider Electric,DC-AU003
PO-2023-001194,2023-10-16,113021.71,Super Micro Computer,DC-US001
PO-2023-001195,2023-10-22,3790.98,Dell Technologies,DC-US006
PO-2023-001196,2023-09-06,33314.87,Juniper Networks,DC-US012
PO-2023-001197,2023-12-13,100524.35,Cisco Systems,DC-US003
PO-2023-001198,2023-10-20,200514.64,HPE (Hewlett Packard Enterprise),DC-IN001
PO-2023-001199,2023-04-11,74122.17,Juniper Networks,DC-US002
PO-2023-001200,2023-04-06,34845.5,NetApp,DC-US007
PO-2023-001201,2023-10-21,1771908.83,Super Micro Computer,DC-IE001
PO-2023-001202,2023-04-08,552438.05,Cisco Systems,DC-IE001
PO-2023-001203,2023-03-13,43524.31,Eaton Corporation,DC-US002
PO-2023-001204,2023-12-27,2980952.33,Super Micro Computer,DC-US001
PO-2023-001205,2023-12-15,522017.97,Cisco Systems,DC-JP001
PO-2023-001206,2023-11-03,42257.11,Cisco Systems,DC-US015
PO-2023-001207,2023-04-24,669717.54,HPE (Hewlett Packard Enterprise),DC-IE006
PO-2023-001208,2023-07-28,546038.96,Cisco Systems,DC-IE001
PO-2023-001209,2023-05-28,87507.5,Super Micro Computer,DC-DE001
PO-2023-001210,2023-12-20,310226.29,Dell Technologies,DC-US002
PO-2023-001211,2023-06-07,95427.47,Juniper Networks,DC-JP001
PO-2023-001212,2023-09-28,704643.56,Dell Technologies,DC-SG002
PO-2023-001213,2023-10-22,331961.96,Lenovo,DC-UK001
PO-2023-001214,2023-11-16,10090.41,Arista Networks,DC-NL001
PO-2023-001215,2023-11-18,417408.87,Dell Technologies,DC-AU001
PO-2023-001216,2023-10-18,64259.91,Dell Technologies,DC-CA001
PO-2023-001217,2023-01-05,733268.89,Lenovo,DC-DE002
PO-2023-001218,2023-09-27,831078.93,Dell Technologies,DC-BR001
PO-2023-001219,2023-01-05,587524.64,HP Enterprise,DC-IE002
PO-2023-001220,2023-07-17,966062.22,Dell Technologies,DC-DE001
PO-2023-001221,2023-08-17,16765.21,Lenovo,DC-NL001
PO-2023-001222,2023-07-15,967758.73,Lenovo,DC-US003
PO-2023-001223,2023-06-12,138124.69,Dell Technologies,DC-US015
PO-2023-001224,2023-08-04,776612.03,HP Enterprise,DC-NL001
PO-2023-001225,2023-10-06,146572.2,Cisco Systems,DC-JP001
PO-2023-001226,2023-10-21,292382.09,HPE (Hewlett Packard Enterprise),DC-JP002
PO-2023-001227,2023-07-26,85636.6,Eaton Corporation,DC-CA001
PO-2023-001228,2023-09-28,54869.11,Juniper Networks,DC-US004
PO-2023-001229,2023-09-26,75788.25,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-001230,2023-04-28,9168.45,Cisco Systems,DC-NL001
PO-2023-001231,2023-02-11,273338.8,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-001232,2023-05-18,537738.94,Dell Technologies,DC-CA001
PO-2023-001233,2023-04-22,207243.53,Dell Technologies,DC-JP002
PO-2023-001234,2023-11-09,568352.4,Cisco Systems,DC-US002
PO-2023-001235,2023-12-01,609675.88,Cisco Systems,DC-IE006
PO-2023-001236,2023-03-28,43765.78,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001237,2023-12-02,1462742.51,Cisco Systems,DC-IE001
PO-2023-001238,2023-04-16,461196.73,Cisco Systems,DC-US002
PO-2023-001239,2023-10-12,635059.38,HPE (Hewlett Packard Enterprise),DC-US014
PO-2023-001240,2023-03-21,215484.4,HPE (Hewlett Packard Enterprise),DC-BR004
PO-2023-001241,2023-10-23,674709.95,Super Micro Computer,DC-JP001
PO-2023-001242,2023-08-14,193599.03,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-001243,2023-09-24,18831.26,Dell Technologies,DC-NL001
PO-2023-001244,2023-09-03,63062.59,IBM,DC-JP001
PO-2023-001245,2023-01-24,38826.2,Lenovo,DC-JP001
PO-2023-001246,2023-10-20,424042.16,Cisco Systems,DC-DE002
PO-2023-001247,2023-11-16,147189.42,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-001248,2023-10-12,1756261.61,Dell Technologies,DC-BR001
PO-2023-001249,2023-10-24,124085.52,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-001250,2023-12-25,256863.84,Dell Technologies,DC-UK001
PO-2023-001251,2023-02-18,574352.47,Dell Technologies,DC-JP001
PO-2023-001252,2023-01-25,1254.51,Super Micro Computer,DC-UK001
PO-2023-001253,2023-10-22,17719.8,Juniper Networks,DC-IE001
PO-2023-001254,2023-12-11,1035911.87,Cisco Systems,DC-CA001
PO-2023-001255,2023-06-05,443364.89,Super Micro Computer,DC-CA001
PO-2023-001256,2023-04-03,1213096.26,Dell Technologies,DC-DE001
PO-2023-001257,2023-11-09,765439.64,Cisco Systems,DC-JP001
PO-2023-001258,2023-10-20,942429.83,Cisco Systems,DC-US001
PO-2023-001259,2023-09-03,228717.78,Dell Technologies,DC-US002
PO-2023-001260,2023-11-19,48591.08,Cisco Systems,DC-JP001
PO-2023-001261,2023-11-07,54012.34,Cisco Systems,DC-UK001
PO-2023-001262,2023-12-06,181331.15,Super Micro Computer,DC-IE001
PO-2023-001263,2023-04-27,5160.42,Dell Technologies,DC-IN002
PO-2023-001264,2023-06-21,32837.98,Dell Technologies,DC-BR001
PO-2023-001265,2023-11-01,338176.27,Lenovo,DC-UK001
PO-2023-001266,2023-08-04,336904.75,Dell Technologies,DC-UK001
